id,a,b,R2 TP,alpha1,beta1,delta1,gender1,language1,iq,gpa,FillerCor,FillerInc,PercentCor
90,1.1355,0.99403,0.9974449,0.990228298,0.966329312,0.99908757,1,0,8,3.8,70,4,0.95
91,1.6593,0.87152,0.9660867,0.940395967,0.996470339,0.996745393,1,1,9,2.8,54,9,0.86
92,1.6133,0.81141,0.9914847,0.971646291,1.251559758,0.992651214,1,0,8,3.385,46,3,0.94
93,1.0728,1.1039,0.9932616,0.849550301,0.287170179,0.990397478,0,1,9,3.6,75,14,0.84
94,0.45899,1.07,0.9833017,0.895639661,1.014670681,0.993455428,1,0,10,3.7,38,9,0.81
95,1.5499,0.89968,0.9824184,0.808937985,1.137595217,0.992113199,0,0,8,3.5,59,1,0.98
96,1.7598,0.98637,0.9936097,0.981698927,0.996330793,0.999957322,1,1,10,3.46,83,1,0.99
97,2.3155,0.88728,0.9913993,0.940728448,0.980390471,0.995294977,0,0,11,3.7,72,6,0.92
98,1.1878,0.84943,0.9813549,0.896070714,1.254305179,0.989413448,1,1,12,3.49,39,6,0.87
99,0.33525,1.2225,0.970565,0.935616687,0.947521057,0.998366321,1,0,9,3.22,63,7,0.9
100,4.2899,0.64052,0.9893263,0.999968412,1.32960065,0.999663504,0,1,9,3,35,13,0.73
101,2.3458,0.85078,0.9788225,0.979824898,0.98910229,1.000566838,1,2,8,3.78,69,4,0.95
102,2.1884,0.77307,0.9851939,0.997683501,0.970786528,0.997528097,1,1,12,3.2,58,0,1
103,2.143,0.8628,0.9855716,0.331661363,1.642822487,1.035536583,1,0,11,3.5,76,2,0.97
104,0.01,0.15,0.9855716,0.381139291,0.869369839,0.996987073,0,2,7,1.4,,,
105,3.9154,0.65311,0.9927516,0.999371307,0.999743985,0.992950568,1,1,9,2.5,38,16,0.7
106,0.38133,1.1642,0.9836406,0.967469149,1.081993052,0.998416198,1,0,8,3.61,57,2,0.97
107,1.1027,1.0142,0.9984043,0.9707697,1.039623088,0.996006801,0,1,10,3.95,73,5,0.94
108,1.4516,0.87072,0.9912264,0.889274066,0.97872059,0.996216714,1,1,10,2.6,50,6,0.89
109,1.366,0.94014,0.995353,0.929429251,1.082196074,0.996663176,0,1,10,3.2,73,3,0.96
110,8.3056,0.43337,0.8724121,0.694462576,0.995316325,1.000425616,1,1,9,3.07,35,8,0.81
111,0.41073,1.014,0.9424994,0.999499767,5.215097249,0.999469691,0,1,7,3.3,24,2,0.92
112,1.1397,1.0315,0.9923616,0.94475274,0.964493615,0.996482309,1,1,8,3.4,73,5,0.94
113,1.1709,0.92182,0.9651524,0.929968598,1.051233503,0.992358311,0,1,8,3.3,52,4,0.93
114,1.6162,0.92592,0.9927889,0.983287363,0.987291702,0.997763586,0,1,9,3.57,71,2,0.97
115,1.4908,0.93349,0.9967341,0.896070714,1.254305179,0.989413448,0,1,7,3.64,78,2,0.98
116,1.4279,0.93957,0.9871472,0.966694936,1.064140302,0.997835504,0,1,10,3.75,62,7,0.9
117,1.4086,0.9577,0.9967298,0.783902283,1.365379907,0.994103892,0,1,9,3.93,78,1,0.99
118,1.3925,0.91415,0.9768885,0.82614983,1.257357103,0.994005559,1,2,8,3.65,52,9,0.85
119,1.0973,0.96923,0.9997575,0.999908546,1.220604694,0.999352526,0,0,12,3.95,67,5,0.93
120,0.68961,1.0033,0.9674069,0.951286023,1.014862597,0.997101069,,2,10,3.89,35,10,0.78
121,0.23932,1.1448,0.9754997,0.848235452,1.178439492,0.992455253,1,1,9,3.06,30,6,0.83
122,1.173,0.93063,0.9974608,0.953171305,1.033379072,0.993509569,1,1,11,3.2,64,3,0.96
123,1.8335,0.90301,0.9774364,0.9485473,1.040700184,0.998694551,1,1,7,3.1,80,6,0.93
124,2.3943,0.7696,0.9849687,0.999968412,1.32960065,0.999663504,1,1,9,3.34,48,5,0.91
